hash,class_changed,method_changed,statement_changed,total_revision
"Diff(project=apache/datasketches-java, old_sha=70d735622280fb8bd2ce5606227be35449448e46, new_sha=f931cb45648fd38b9636db89f67262fdbb153b3b, old_path=src/main/java/org/apache/datasketches/theta/Intersection.java, new_path=src/main/java/org/apache/datasketches/theta/Intersection.java, old_lines=[155], new_lines=[155], category=ONE_TO_ONE)",4,1,1,32
"Diff(project=apache/datasketches-java, old_sha=70d735622280fb8bd2ce5606227be35449448e46, new_sha=f931cb45648fd38b9636db89f67262fdbb153b3b, old_path=src/main/java/org/apache/datasketches/theta/SetOperationBuilder.java, new_path=src/main/java/org/apache/datasketches/theta/SetOperationBuilder.java, old_lines=[95], new_lines=[92], category=ONE_TO_ONE)",3,1,1,11
"Diff(project=apache/datasketches-java, old_sha=70d735622280fb8bd2ce5606227be35449448e46, new_sha=f931cb45648fd38b9636db89f67262fdbb153b3b, old_path=src/main/java/org/apache/datasketches/theta/UpdateSketchBuilder.java, new_path=src/main/java/org/apache/datasketches/theta/UpdateSketchBuilder.java, old_lines=[122], new_lines=[118], category=ONE_TO_ONE)",4,3,1,39
"Diff(project=apache/datasketches-java, old_sha=70d735622280fb8bd2ce5606227be35449448e46, new_sha=f931cb45648fd38b9636db89f67262fdbb153b3b, old_path=src/main/java/org/apache/datasketches/tuple/UpdatableSketchBuilder.java, new_path=src/main/java/org/apache/datasketches/tuple/UpdatableSketchBuilder.java, old_lines=[61], new_lines=[59], category=ONE_TO_ONE)",1,1,1,39
"Diff(project=apache/datasketches-java, old_sha=70d735622280fb8bd2ce5606227be35449448e46, new_sha=f931cb45648fd38b9636db89f67262fdbb153b3b, old_path=src/main/java/org/apache/datasketches/tuple/arrayofdoubles/ArrayOfDoublesUpdatableSketchBuilder.java, new_path=src/main/java/org/apache/datasketches/tuple/arrayofdoubles/ArrayOfDoublesUpdatableSketchBuilder.java, old_lines=[63], new_lines=[60], category=ONE_TO_ONE)",0,0,0,9
"Diff(project=wavesoftware/java-eid-exceptions, old_sha=87ae592771b07827c0726e5d7c0864126cfc4913, new_sha=3dd2d164a360d88d183573127daa0865cb2b5258, old_path=src/main/java/pl/wavesoftware/eid/exceptions/Eid.java, new_path=src/main/java/pl/wavesoftware/eid/exceptions/Eid.java, old_lines=[202], new_lines=[202], category=ONE_TO_ONE)",2,1,0,6
"Diff(project=mariadb-corporation/mariadb-connector-j, old_sha=7b078899f72ed0e157baab9d21d62718c228e47a, new_sha=3b93619ce7226ac56ca1a2b6f0e50829b1dbd157, old_path=src/main/java/org/mariadb/jdbc/MariaDbStatement.java, new_path=src/main/java/org/mariadb/jdbc/MariaDbStatement.java, old_lines=[1138], new_lines=[1137], category=ONE_TO_ONE)",3,1,1,14
"Diff(project=mariadb-corporation/mariadb-connector-j, old_sha=43de4520ecbd716a97afd44b7d57f99d917b429d, new_sha=9494c97670d2b3f2f86494f0cfc5642daffcc381, old_path=src/main/java/org/mariadb/jdbc/internal/queryresults/MariaDbValueObject.java, new_path=src/main/java/org/mariadb/jdbc/internal/queryresults/MariaDbValueObject.java, old_lines=[1102], new_lines=[1326], category=ONE_TO_ONE)",6,1,1,73
"Diff(project=mariadb-corporation/mariadb-connector-j, old_sha=43de4520ecbd716a97afd44b7d57f99d917b429d, new_sha=9494c97670d2b3f2f86494f0cfc5642daffcc381, old_path=src/main/java/org/mariadb/jdbc/internal/queryresults/MariaDbValueObject.java, new_path=src/main/java/org/mariadb/jdbc/internal/queryresults/MariaDbValueObject.java, old_lines=[1144], new_lines=[1362], category=ONE_TO_ONE)",6,2,2,46
"Diff(project=mariadb-corporation/mariadb-connector-j, old_sha=12d22ecc962e410d9c5f3bc2650fc43a7c8d1886, new_sha=2065a1a95638a142a5d696ad9f9da5d308204201, old_path=src/main/java/org/mariadb/jdbc/internal/io/output/AbstractPacketOutputStream.java, new_path=src/main/java/org/mariadb/jdbc/internal/io/output/AbstractPacketOutputStream.java, old_lines=[397], new_lines=[399], category=ONE_TO_ONE)",3,1,1,27
"Diff(project=mariadb-corporation/mariadb-connector-j, old_sha=83fdfc0343d25613d3df11a95c08096955c37068, new_sha=6aa4782ae9205abb0e40ad80b39b29144b697fd9, old_path=src/main/java/org/mariadb/jdbc/internal/com/read/resultset/SelectResultSet.java, new_path=src/main/java/org/mariadb/jdbc/internal/com/read/resultset/SelectResultSet.java, old_lines=[512], new_lines=[478], category=ONE_TO_ONE)",19,5,4,119
"Diff(project=mariadb-corporation/mariadb-connector-j, old_sha=43de4520ecbd716a97afd44b7d57f99d917b429d, new_sha=9494c97670d2b3f2f86494f0cfc5642daffcc381, old_path=src/main/java/org/mariadb/jdbc/internal/queryresults/MariaDbValueObject.java, new_path=src/main/java/org/mariadb/jdbc/internal/queryresults/MariaDbValueObject.java, old_lines=[448], new_lines=[591], category=ONE_TO_ONE)",6,1,1,46
"Diff(project=mariadb-corporation/mariadb-connector-j, old_sha=43de4520ecbd716a97afd44b7d57f99d917b429d, new_sha=9494c97670d2b3f2f86494f0cfc5642daffcc381, old_path=src/main/java/org/mariadb/jdbc/internal/queryresults/MariaDbValueObject.java, new_path=src/main/java/org/mariadb/jdbc/internal/queryresults/MariaDbValueObject.java, old_lines=[515], new_lines=[716], category=ONE_TO_ONE)",6,0,0,46
"Diff(project=mariadb-corporation/mariadb-connector-j, old_sha=237d3935ff394f98821b49679d3e2b53312406b3, new_sha=a5b818768bc08595bf6eab6b2388ae48a8362eb5, old_path=src/main/java/org/mariadb/jdbc/MariaDbResultSetMetaData.java, new_path=src/main/java/org/mariadb/jdbc/MariaDbResultSetMetaData.java, old_lines=[281], new_lines=[282], category=ONE_TO_ONE)",9,3,2,390
"Diff(project=mariadb-corporation/mariadb-connector-j, old_sha=237d3935ff394f98821b49679d3e2b53312406b3, new_sha=a5b818768bc08595bf6eab6b2388ae48a8362eb5, old_path=src/main/java/org/mariadb/jdbc/MariaDbResultSetMetaData.java, new_path=src/main/java/org/mariadb/jdbc/MariaDbResultSetMetaData.java, old_lines=[287], new_lines=[288], category=ONE_TO_ONE)",9,3,2,390
"Diff(project=mariadb-corporation/mariadb-connector-j, old_sha=237d3935ff394f98821b49679d3e2b53312406b3, new_sha=a5b818768bc08595bf6eab6b2388ae48a8362eb5, old_path=src/main/java/org/mariadb/jdbc/internal/protocol/AbstractConnectProtocol.java, new_path=src/main/java/org/mariadb/jdbc/internal/protocol/AbstractConnectProtocol.java, old_lines=[1029], new_lines=[1237], category=ONE_TO_ONE)",66,2,2,345
"Diff(project=mariadb-corporation/mariadb-connector-j, old_sha=308dd9d7c917dc816d81e20f7fd2261ee785e68d, new_sha=03409c7efcbd1b31b7a59d32b16ca940a26f0238, old_path=src/main/java/org/mariadb/jdbc/UrlParser.java, new_path=src/main/java/org/mariadb/jdbc/UrlParser.java, old_lines=[171], new_lines=[171], category=ONE_TO_ONE)",20,4,3,677
"Diff(project=mariadb-corporation/mariadb-connector-j, old_sha=afb7cbd9b05de11a5c1e14f36ab1289589295be4, new_sha=2a5d9ddf2f7a94ab0758cb074094060edbe4389d, old_path=src/main/java/org/mariadb/jdbc/MariaDbClob.java, new_path=src/main/java/org/mariadb/jdbc/MariaDbClob.java, old_lines=[106], new_lines=[150], category=ONE_TO_ONE)",4,1,1,355
"Diff(project=mariadb-corporation/mariadb-connector-j, old_sha=1d831664f7d871ccd871fb9b2137ce3cd3421c4d, new_sha=3d4586a28c4d9b7596915f0839c220df127a4817, old_path=src/main/java/org/mariadb/jdbc/internal/util/Utils.java, new_path=src/main/java/org/mariadb/jdbc/internal/util/Utils.java, old_lines=[335], new_lines=[396], category=ONE_TO_ONE)",6,1,1,27
"Diff(project=augustd/burp-suite-utils, old_sha=bc54876a1a2ac3cef7df7be4532716d4cbc245ca, new_sha=122544bd971caa5e3e5de25a5c1eada44e1c809e, old_path=src/main/java/com/codemagi/burp/parser/HttpRequest.java, new_path=src/main/java/com/codemagi/burp/parser/HttpRequest.java, old_lines=[267], new_lines=[296], category=ONE_TO_ONE)",2,0,0,10
"Diff(project=openskynetwork/java-adsb, old_sha=4a6b9121c8ea741ee9c706840a5c319d3bbe5c0b, new_sha=4127fa1ff2b6325223c7c7dd181aa9eaecff73fb, old_path=src/main/java/org/opensky/libadsb/msgs/AltitudeReply.java, new_path=src/main/java/org/opensky/libadsb/msgs/AltitudeReply.java, old_lines=[190], new_lines=[190], category=ONE_TO_ONE)",11,3,3,99
"Diff(project=openskynetwork/java-adsb, old_sha=d24217f58c9bd2f103508627ed212ae46974ed6e, new_sha=caa67865f41ca9b779398e10393356b535487b3b, old_path=src/main/java/org/opensky/libadsb/msgs/AirspeedHeadingMsg.java, new_path=src/main/java/org/opensky/libadsb/msgs/AirspeedHeadingMsg.java, old_lines=[89], new_lines=[89], category=ONE_TO_ONE)",15,7,6,150
"Diff(project=openskynetwork/java-adsb, old_sha=6cfa75dabcdcaa861949cbb45d188fc83f06c5f7, new_sha=01a388425ba74debfda5c3a0b9bc3363466014b2, old_path=src/main/java/org/opensky/libadsb/msgs/LongACAS.java, new_path=src/main/java/org/opensky/libadsb/msgs/LongACAS.java, old_lines=[84], new_lines=[84], category=ONE_TO_ONE)",7,2,2,83
"Diff(project=tecsinapse/tecsinapse-data-io, old_sha=2e4d6d2224cddbffc615c399fb5e6c9c1697199d, new_sha=749da0c60b062e36b4678c54d85722a2b9cd992f, old_path=src/main/java/br/com/tecsinapse/exporter/importer/CsvParser.java, new_path=src/main/java/br/com/tecsinapse/exporter/importer/CsvParser.java, old_lines=[92], new_lines=[90], category=ONE_TO_ONE)",11,2,2,87
"Diff(project=tecsinapse/tecsinapse-data-io, old_sha=c03a12c1270a90fa1341f702bd7031b30dbc0e6c, new_sha=b851fc5a021003eba71a1f1b0c3592476e27f3df, old_path=src/main/java/br/com/tecsinapse/exporter/importer/parser/CsvParser.java, new_path=src/main/java/br/com/tecsinapse/exporter/importer/parser/CsvParser.java, old_lines=[215], new_lines=[217], category=ONE_TO_ONE)",3,1,1,31
"Diff(project=mpatric/mp3agic, old_sha=2775548291ddef28d3661b1925fc146c0ca13cc4, new_sha=db5f86cde7a29c95fae2e3939d5fb0aeeab7eeba, old_path=src/main/java/com/mpatric/mp3agic/BufferTools.java, new_path=src/main/java/com/mpatric/mp3agic/BufferTools.java, old_lines=[93], new_lines=[93], category=ONE_TO_ONE)",8,0,0,63
"Diff(project=mpatric/mp3agic, old_sha=2775548291ddef28d3661b1925fc146c0ca13cc4, new_sha=db5f86cde7a29c95fae2e3939d5fb0aeeab7eeba, old_path=src/main/java/com/mpatric/mp3agic/BufferTools.java, new_path=src/main/java/com/mpatric/mp3agic/BufferTools.java, old_lines=[103], new_lines=[103], category=ONE_TO_ONE)",8,0,0,63
"Diff(project=mpatric/mp3agic, old_sha=e9ea8d3abd372864277262af41c9afdfd9e59deb, new_sha=b530b5e05e9bd2496ad9a42326191aeca762e577, old_path=src/main/java/com/mpatric/mp3agic/AbstractID3v2Tag.java, new_path=src/main/java/com/mpatric/mp3agic/AbstractID3v2Tag.java, old_lines=[253], new_lines=[253], category=ONE_TO_ONE)",9,1,1,28
"Diff(project=rpau/javalang, old_sha=94c9ab4f3a411125d0769c0c18ed8f130922c973, new_sha=16a3201992478a745239955ad393839b1a19ee0f, old_path=src/main/java/org/walkmod/javalang/ASTParserTokenManager.java, new_path=src/main/java/org/walkmod/javalang/ASTParserTokenManager.java, old_lines=[392], new_lines=[394], category=ONE_TO_ONE)",0,0,0,3
"Diff(project=rpau/javalang, old_sha=94c9ab4f3a411125d0769c0c18ed8f130922c973, new_sha=16a3201992478a745239955ad393839b1a19ee0f, old_path=src/main/java/org/walkmod/javalang/ASTParserTokenManager.java, new_path=src/main/java/org/walkmod/javalang/ASTParserTokenManager.java, old_lines=[467], new_lines=[469], category=ONE_TO_ONE)",0,0,0,3
"Diff(project=w3c/epubcheck, old_sha=ccfcaf6d0b457eea1aee480264505bfd3439bddc, new_sha=cd5beb46dbbf4a76d072ecbf2f376c7d402a18aa, old_path=src/main/java/com/adobe/epubcheck/ctc/EpubExtLinksCheck.java, new_path=src/main/java/com/adobe/epubcheck/ctc/EpubExtLinksCheck.java, old_lines=[69], new_lines=[69], category=ONE_TO_ONE)",7,6,6,298
"Diff(project=w3c/epubcheck, old_sha=3d4ca3dd71fb56770b35646dcd74539ed4e226a1, new_sha=8ee1efadfd03e137f66be8f80b6185ec6684260b, old_path=src/main/java/com/adobe/epubcheck/opf/XRefChecker.java, new_path=src/main/java/com/adobe/epubcheck/opf/XRefChecker.java, old_lines=[270], new_lines=[244], category=ONE_TO_ONE)",8,5,5,112
"Diff(project=venkatramanm/common, old_sha=5beb91579bb771e9f2a31c5c8fef22e25a2b0eb0, new_sha=e7275ae2c32903ccaea9f49e355e16e0d2f15911, old_path=src/main/java/com/venky/core/util/pkg/JarIntrospector.java, new_path=src/main/java/com/venky/core/util/pkg/JarIntrospector.java, old_lines=[24], new_lines=[24], category=ONE_TO_ONE)",3,3,3,133
"Diff(project=wmixvideo/nfe, old_sha=bbcb684a5e14b0d3a587790b6db72fefb28fa20a, new_sha=eb3a6673cd94b635380da6d0092b1a6a2fc5b91a, old_path=src/main/java/com/fincatto/documentofiscal/validadores/XMLValidador.java, new_path=src/main/java/com/fincatto/documentofiscal/validadores/XMLValidador.java, old_lines=[60], new_lines=[60], category=ONE_TO_ONE)",3,2,2,104
"Diff(project=wmixvideo/nfe, old_sha=fac4e5b0e1e3b4ff227708b0f85a3cbae9b84625, new_sha=cef9273fcc39b365f29b7bf55c80a38132026c12, old_path=src/main/java/com/fincatto/documentofiscal/validadores/DFXMLValidador.java, new_path=src/main/java/com/fincatto/documentofiscal/validadores/DFXMLValidador.java, old_lines=[32], new_lines=[32], category=ONE_TO_ONE)",11,4,4,74
"Diff(project=bramp/ffmpeg-cli-wrapper, old_sha=23b277db8af5b76bccfc4ad86f84d90e0797657b, new_sha=16d3bbbb1090bd8c2dd5700d70c795ca1691946b, old_path=src/main/java/net/bramp/ffmpeg/nut/MainHeaderPacket.java, new_path=src/main/java/net/bramp/ffmpeg/nut/MainHeaderPacket.java, old_lines=[57], new_lines=[58], category=ONE_TO_ONE)",5,4,4,95
"Diff(project=TakahikoKawasaki/nv-websocket-client, old_sha=fb5c89020ceb13d0dd6301fbded961355d7325a8, new_sha=ea19d4f7c022cb38a1810c7b6390f13e596b9b6a, old_path=src/main/java/com/neovisionaries/ws/client/WebSocketInputStream.java, new_path=src/main/java/com/neovisionaries/ws/client/WebSocketInputStream.java, old_lines=[126], new_lines=[126], category=ONE_TO_ONE)",5,1,1,131
"Diff(project=ThreeTen/threeten-extra, old_sha=9199231f3d3924c4672f0d3288b78e718f25b8b7, new_sha=467cd401e0a40938b0b07ae9e5717dfda1f50fda, old_path=src/main/java/org/threeten/extra/Months.java, new_path=src/main/java/org/threeten/extra/Months.java, old_lines=[210], new_lines=[210], category=ONE_TO_ONE)",14,3,1,113
"Diff(project=soulgalore/crawler, old_sha=779c88ff12826b6761cf78605ca9b9bb6c45d31f, new_sha=92639274d8712ddf659ab0a649746942ab77d7fc, old_path=src/main/java/com/soulgalore/crawler/util/AuthUtil.java, new_path=src/main/java/com/soulgalore/crawler/util/AuthUtil.java, old_lines=[40], new_lines=[40], category=ONE_TO_ONE)",1,1,1,23
"Diff(project=icode/ameba, old_sha=1f9fd98273ace78d95ed6f7c227bbdc29ebb164d, new_sha=7f92e990d9a0056b94c3c86ef48f6213b5372adb, old_path=src/main/java/ameba/db/ebean/EbeanUtils.java, new_path=src/main/java/ameba/db/ebean/EbeanUtils.java, old_lines=[136], new_lines=[136], category=ONE_TO_ONE)",23,13,11,361
"Diff(project=PinaeOS/nala, old_sha=9706e44e9097149e44a2f9784373a67c81d7d087, new_sha=34836727a3bfd2842f82c4f914e6fab1b8a51430, old_path=src/main/java/org/pinae/nala/xb/marshal/parser/DefaultObjectParser.java, new_path=src/main/java/org/pinae/nala/xb/marshal/parser/DefaultObjectParser.java, old_lines=[64], new_lines=[64], category=ONE_TO_ONE)",5,4,3,34
"Diff(project=netceteragroup/trema-core, old_sha=c2711d068831ecb844e792e2a7468fb9d8a010fe, new_sha=17fd5a45b5fdf8cfc3320baaae3eeb37098a3c0e, old_path=src/main/java/com/netcetera/trema/core/exporting/AndroidExporter.java, new_path=src/main/java/com/netcetera/trema/core/exporting/AndroidExporter.java, old_lines=[98], new_lines=[97], category=ONE_TO_ONE)",1,1,1,11
"Diff(project=rythmengine/rythmengine, old_sha=16145557709ee59b3d73cfe1cdc6e4a7e1478908, new_sha=807ee82a16c2ef33d58f40ab72df81af285e59c7, old_path=src/main/java/com/greenlaw110/rythm/internal/parser/build_in/ImportParser.java, new_path=src/main/java/com/greenlaw110/rythm/internal/parser/build_in/ImportParser.java, old_lines=[71], new_lines=[71], category=ONE_TO_ONE)",-1,-1,-1,306
"Diff(project=ixa-ehu/ixa-pipe-nerc, old_sha=d8ea97c138e253b685b0d11e7fedef468d50a4a9, new_sha=7ad2a2f4e25c62b7863642dfabb7a270acbe7d36, old_path=src/main/java/es/ehu/si/ixa/ixa/pipe/nerc/dict/MFSResource.java, new_path=src/main/java/es/ehu/si/ixa/ixa/pipe/nerc/dict/MFSResource.java, old_lines=[106], new_lines=[106], category=ONE_TO_ONE)",2,1,1,7
"Diff(project=julianhyde/sqlline, old_sha=87a8e4fc2fb34cad74123a2c8d63d25bc9f106b1, new_sha=1800dee215496583019bdc3ddb7f840e79012373, old_path=src/main/java/sqlline/Commands.java, new_path=src/main/java/sqlline/Commands.java, old_lines=[321], new_lines=[321], category=ONE_TO_ONE)",0,0,0,4
"Diff(project=julianhyde/sqlline, old_sha=87a8e4fc2fb34cad74123a2c8d63d25bc9f106b1, new_sha=1800dee215496583019bdc3ddb7f840e79012373, old_path=src/main/java/sqlline/SqlLine.java, new_path=src/main/java/sqlline/SqlLine.java, old_lines=[1506], new_lines=[1506], category=ONE_TO_ONE)",55,1,1,131
"Diff(project=julianhyde/sqlline, old_sha=de5fe731a9d3f96905aec145063d8e53ca2519c7, new_sha=bc8bb995d123553d85335ea3962b5cc4cbdf2e11, old_path=src/main/java/sqlline/SqlLine.java, new_path=src/main/java/sqlline/SqlLine.java, old_lines=[344], new_lines=[347], category=ONE_TO_ONE)",78,16,15,184
"Diff(project=zhegexiaohuozi/JsoupXpath, old_sha=fc3084f7eb08a53fa5296c617d8c084e82799cdc, new_sha=6a4b51df520bdb85fc8fe277d1b83d6b7c74d459, old_path=src/main/java/cn/wanghaomiao/xpath/core/XpathEvaluator.java, new_path=src/main/java/cn/wanghaomiao/xpath/core/XpathEvaluator.java, old_lines=[32], new_lines=[32], category=ONE_TO_ONE)",8,2,2,16
"Diff(project=mp911de/logstash-gelf, old_sha=534b1ad24e043300b3bf4a4e97354ffc2446fb43, new_sha=0878e9503d46a304adb266492cf233e6464d330e, old_path=src/main/java/biz/paluch/logging/gelf/intern/sender/QueryStringParser.java, new_path=src/main/java/biz/paluch/logging/gelf/intern/sender/QueryStringParser.java, old_lines=[118], new_lines=[122], category=ONE_TO_ONE)",0,0,0,22
"Diff(project=Esri/geometry-api-java, old_sha=2407d0b1e3149445f7cee7abe9761fe0109c51d4, new_sha=f68c2413d6a1849238a71d59741f9667e98a1924, old_path=src/main/java/com/esri/core/geometry/OperatorExportToWkbLocal.java, new_path=src/main/java/com/esri/core/geometry/OperatorExportToWkbLocal.java, old_lines=[173], new_lines=[173], category=ONE_TO_ONE)",1,0,0,20
"Diff(project=jeremiehuchet/nominatim-java-api, old_sha=1b80daad1844bdc3a2b7169612a106ec5fe94b64, new_sha=98e4554034c17c7a8f5c1bb3af86fa81205d83da, old_path=src/main/java/fr/dudie/nominatim/client/JsonNominatimClient.java, new_path=src/main/java/fr/dudie/nominatim/client/JsonNominatimClient.java, old_lines=[164], new_lines=[164], category=ONE_TO_ONE)",8,2,2,18
"Diff(project=spotify/crtauth-java, old_sha=a4f1f3c6d9510e7f0bd288133a55e1367b28a243, new_sha=a248b6c3fcc89d416a547b60c24bb2b25a2f8faf, old_path=src/main/java/com/spotify/crtauth/utils/TraditionalKeyParser.java, new_path=src/main/java/com/spotify/crtauth/utils/TraditionalKeyParser.java, old_lines=[114], new_lines=[113], category=ONE_TO_ONE)",0,0,0,1
"Diff(project=proxyee-down-org/pdown-core, old_sha=7d1c99a8d1010690d3a1c0bb8214ee587d1b5ef8, new_sha=4d2f2363e4c4318a6b0ea37c4d943fdf24ee310e, old_path=src/main/java/org/pdown/core/boot/HttpDownBootstrap.java, new_path=src/main/java/org/pdown/core/boot/HttpDownBootstrap.java, old_lines=[673], new_lines=[675], category=ONE_TO_ONE)",0,0,0,3
"Diff(project=steveohara/j2mod, old_sha=9312a2984fcfa73e8c3c7f9a4f2c88287fcd5b78, new_sha=f7c883f7391c10ade153f8b6d734cd86b696d4a9, old_path=src/main/java/com/ghgande/j2mod/modbus/msg/ReadCoilsRequest.java, new_path=src/main/java/com/ghgande/j2mod/modbus/msg/ReadCoilsRequest.java, old_lines=[170], new_lines=[171], category=ONE_TO_ONE)",0,0,0,25
"Diff(project=steveohara/j2mod, old_sha=9312a2984fcfa73e8c3c7f9a4f2c88287fcd5b78, new_sha=f7c883f7391c10ade153f8b6d734cd86b696d4a9, old_path=src/main/java/com/ghgande/j2mod/modbus/msg/ReadCoilsRequest.java, new_path=src/main/java/com/ghgande/j2mod/modbus/msg/ReadCoilsRequest.java, old_lines=[172], new_lines=[173], category=ONE_TO_ONE)",0,0,0,25
"Diff(project=steveohara/j2mod, old_sha=9312a2984fcfa73e8c3c7f9a4f2c88287fcd5b78, new_sha=f7c883f7391c10ade153f8b6d734cd86b696d4a9, old_path=src/main/java/com/ghgande/j2mod/modbus/msg/ReadInputDiscretesRequest.java, new_path=src/main/java/com/ghgande/j2mod/modbus/msg/ReadInputDiscretesRequest.java, old_lines=[171], new_lines=[174], category=ONE_TO_ONE)",1,0,0,25
"Diff(project=steveohara/j2mod, old_sha=9312a2984fcfa73e8c3c7f9a4f2c88287fcd5b78, new_sha=f7c883f7391c10ade153f8b6d734cd86b696d4a9, old_path=src/main/java/com/ghgande/j2mod/modbus/msg/ReadInputDiscretesRequest.java, new_path=src/main/java/com/ghgande/j2mod/modbus/msg/ReadInputDiscretesRequest.java, old_lines=[173], new_lines=[176], category=ONE_TO_ONE)",1,0,0,25
"Diff(project=steveohara/j2mod, old_sha=9312a2984fcfa73e8c3c7f9a4f2c88287fcd5b78, new_sha=f7c883f7391c10ade153f8b6d734cd86b696d4a9, old_path=src/main/java/com/ghgande/j2mod/modbus/procimg/ObservableRegister.java, new_path=src/main/java/com/ghgande/j2mod/modbus/procimg/ObservableRegister.java, old_lines=[60], new_lines=[68], category=ONE_TO_ONE)",3,2,1,116
"Diff(project=c-rack/cbor-java, old_sha=2e1dd7ee4860c544205494fd6bd6c35122710291, new_sha=361c1e1a7572a2cd899c21b8b72649de8f2d56d1, old_path=src/main/java/co/nstant/in/cbor/decoder/DoublePrecisionFloatDecoder.java, new_path=src/main/java/co/nstant/in/cbor/decoder/DoublePrecisionFloatDecoder.java, old_lines=[20], new_lines=[20], category=ONE_TO_ONE)",1,1,1,48
"Diff(project=c-rack/cbor-java, old_sha=2e1dd7ee4860c544205494fd6bd6c35122710291, new_sha=361c1e1a7572a2cd899c21b8b72649de8f2d56d1, old_path=src/main/java/co/nstant/in/cbor/decoder/SinglePrecisionFloatDecoder.java, new_path=src/main/java/co/nstant/in/cbor/decoder/SinglePrecisionFloatDecoder.java, old_lines=[20], new_lines=[20], category=ONE_TO_ONE)",1,1,1,48
"Diff(project=codeprimate-software/cp-elements, old_sha=b0cf5ec37ec557cfea8061a92cf9af7f25402ba8, new_sha=6dc56bb9cb9232403ba3abb50522ed63727c3a95, old_path=src/main/java/org/cp/elements/io/FileSystemUtils.java, new_path=src/main/java/org/cp/elements/io/FileSystemUtils.java, old_lines=[196], new_lines=[216], category=ONE_TO_ONE)",18,5,4,1877
"Diff(project=codeprimate-software/cp-elements, old_sha=d5b6682b80601e9f928b6e32e30214a7dce0f5ca, new_sha=fc4f6eeae846d1353fc8a134d15bafa9e16be430, old_path=src/main/java/org/cp/elements/data/struct/BloomFilter.java, new_path=src/main/java/org/cp/elements/data/struct/BloomFilter.java, old_lines=[162], new_lines=[192], category=ONE_TO_ONE)",7,3,2,11
"Diff(project=bazaarvoice/rison, old_sha=956df803194ef52d80e4e33103298ee7986d92d0, new_sha=95565149491b97ace1d0a7cc615f8a0f41e64355, old_path=src/main/java/com/bazaarvoice/jackson/rison/RisonGenerator.java, new_path=src/main/java/com/bazaarvoice/jackson/rison/RisonGenerator.java, old_lines=[1007], new_lines=[1012], category=ONE_TO_ONE)",4,0,0,6
"Diff(project=PistoiaHELM/HELMNotationParser, old_sha=5473cdb8466615522534566596d7b1d1e7c42629, new_sha=61a6e3940c39e4dd374831c2718f57f0c1b6d40e, old_path=src/main/java/org/helm/notation2/parser/notation/connection/ConnectionNotation.java, new_path=src/main/java/org/helm/notation2/parser/notation/connection/ConnectionNotation.java, old_lines=[277], new_lines=[279], category=ONE_TO_ONE)",2,1,1,13
"Diff(project=VerbalExpressions/JavaVerbalExpressions, old_sha=8d5949499c77ff1a053375bbd66811ddadc8a93f, new_sha=0ae8ff3737abf565ab81847a1bb7898df2b2fb0f, old_path=src/main/java/ru/lanwen/verbalregex/VerbalExpression.java, new_path=src/main/java/ru/lanwen/verbalregex/VerbalExpression.java, old_lines=[396], new_lines=[420], category=ONE_TO_ONE)",1,1,1,2
"Diff(project=tcurdt/jdeb, old_sha=8e48e789ea23f0b28292e3a70a99f983a937657f, new_sha=d78b6f68a0eb0f47978151188ab3f2e3ea3d50bf, old_path=src/main/java/org/vafer/jdeb/signing/SigningUtils.java, new_path=src/main/java/org/vafer/jdeb/signing/SigningUtils.java, old_lines=[117], new_lines=[117], category=ONE_TO_ONE)",9,2,2,121
"Diff(project=jfinal/jfinal, old_sha=b948fed63e686e88dd35e4b96d64d603b6894527, new_sha=afe2e834d9a3d54bf0f8851c0babb92fee8bdc61, old_path=src/main/java/com/jfinal/render/RedirectRender.java, new_path=src/main/java/com/jfinal/render/RedirectRender.java, old_lines=[59], new_lines=[59], category=ONE_TO_ONE)",16,7,7,1337
"Diff(project=jfinal/jfinal, old_sha=0e4513fba7ed5be1fc205af33ad8e1cff7d4e3da, new_sha=3656dcfc65712ec1de068e9f1fd8cda4c4cc4459, old_path=src/main/java/com/jfinal/aop/Callback.java, new_path=src/main/java/com/jfinal/aop/Callback.java, old_lines=[90], new_lines=[90], category=ONE_TO_ONE)",2,1,1,192
"Diff(project=treasure-data/td-client-java, old_sha=5e838b9a6e90d9351687272cd20359758fff1592, new_sha=414e332910cdc36b4271414b1b482ebd3b9f8d43, old_path=src/main/java/com/treasure_data/client/HttpClientAdaptor.java, new_path=src/main/java/com/treasure_data/client/HttpClientAdaptor.java, old_lines=[776], new_lines=[776], category=ONE_TO_ONE)",29,4,4,392
"Diff(project=jmrozanec/cron-utils, old_sha=42f3d7290ebcf36fd01ebacddac3c1733ffb44c1, new_sha=20170ac6838e00b2201e2c829890c0222ad7e47c, old_path=src/main/java/com/cronutils/parser/FieldParser.java, new_path=src/main/java/com/cronutils/parser/FieldParser.java, old_lines=[214], new_lines=[218], category=ONE_TO_ONE)",7,1,1,95
"Diff(project=jmrozanec/cron-utils, old_sha=20170ac6838e00b2201e2c829890c0222ad7e47c, new_sha=0664a634a50b168fac9d69eacf371a545641deeb, old_path=src/main/java/com/cronutils/model/time/TimeNode.java, new_path=src/main/java/com/cronutils/model/time/TimeNode.java, old_lines=[71], new_lines=[72], category=ONE_TO_ONE)",11,3,2,225
