hash,class_changed,method_changed,statement_changed,total_revision
"Diff(project=classgraph/classgraph, old_sha=876ddc04b0f7932c755bfd2738297da6a772fe7e, new_sha=5574ddc407178db7c0cee0075209f1c463ee76a8, old_path=src/main/java/nonapi/io/github/classgraph/fileslice/Slice.java, new_path=src/main/java/nonapi/io/github/classgraph/fileslice/Slice.java, old_lines=[237], new_lines=[237], category=ONE_TO_ONE)",8,0,0,425
"Diff(project=classgraph/classgraph, old_sha=5bc68ecd985915a9f2ab61c16d008af559040f99, new_sha=374cbce32216cceb63d1b8bdc3679e09eaed6b82, old_path=src/main/java/io/github/classgraph/Scanner.java, new_path=src/main/java/io/github/classgraph/Scanner.java, old_lines=[396], new_lines=[406], category=ONE_TO_ONE)",2,2,2,5
"Diff(project=classgraph/classgraph, old_sha=5bc68ecd985915a9f2ab61c16d008af559040f99, new_sha=374cbce32216cceb63d1b8bdc3679e09eaed6b82, old_path=src/main/java/io/github/classgraph/Scanner.java, new_path=src/main/java/io/github/classgraph/Scanner.java, old_lines=[398], new_lines=[408], category=ONE_TO_ONE)",2,2,2,5
"Diff(project=classgraph/classgraph, old_sha=c09b51e9a8285b9597eb19c6641f889a38792e89, new_sha=2ae2625d5912b141e324a560332e6b4fae96590d, old_path=src/main/java/io/github/classgraph/PackageInfo.java, new_path=src/main/java/io/github/classgraph/PackageInfo.java, old_lines=[202], new_lines=[200], category=ONE_TO_ONE)",7,2,1,309
"Diff(project=classgraph/classgraph, old_sha=c55f943f8c20cbac7afbfda5c052b50442193a70, new_sha=d61abca1d654da65196296dcaa87d2e5d63c1619, old_path=src/main/java/io/github/classgraph/ClassfileBinaryParser.java, new_path=src/main/java/io/github/classgraph/ClassfileBinaryParser.java, old_lines=[468], new_lines=[590], category=ONE_TO_ONE)",3,2,1,1010
"Diff(project=classgraph/classgraph, old_sha=4fefa25d5eb1f2ec488b5908eaf2516769cfd16f, new_sha=6b5a4c49ccb1f8bf4c86496242eb2ae8e402dfed, old_path=src/main/java/io/github/classgraph/Classfile.java, new_path=src/main/java/io/github/classgraph/Classfile.java, old_lines=[657], new_lines=[680], category=ONE_TO_ONE)",47,1,1,685
"Diff(project=classgraph/classgraph, old_sha=48608d2e8f2a7d3da6265d027e9492bacc15e9c3, new_sha=14c392da6f4add30a4a4fe285f5bbb63123eb9ed, old_path=src/main/java/io/github/lukehutch/fastclasspathscanner/scanner/RelativePath.java, new_path=src/main/java/io/github/lukehutch/fastclasspathscanner/scanner/RelativePath.java, old_lines=[288], new_lines=[294], category=ONE_TO_ONE)",21,7,7,1857
"Diff(project=classgraph/classgraph, old_sha=fcd0f47ede4bce96656bd31cc47b6a929d585c32, new_sha=e6568f3e7c8eb582303da621680549f9f560428b, old_path=src/main/java/nonapi/io/github/classgraph/classpath/ClasspathOrder.java, new_path=src/main/java/nonapi/io/github/classgraph/classpath/ClasspathOrder.java, old_lines=[314], new_lines=[325], category=ONE_TO_ONE)",40,5,3,854
"Diff(project=classgraph/classgraph, old_sha=fcd0f47ede4bce96656bd31cc47b6a929d585c32, new_sha=e6568f3e7c8eb582303da621680549f9f560428b, old_path=src/main/java/nonapi/io/github/classgraph/classpath/ClasspathOrder.java, new_path=src/main/java/nonapi/io/github/classgraph/classpath/ClasspathOrder.java, old_lines=[318], new_lines=[329], category=ONE_TO_ONE)",40,5,3,854
"Diff(project=classgraph/classgraph, old_sha=fcd0f47ede4bce96656bd31cc47b6a929d585c32, new_sha=e6568f3e7c8eb582303da621680549f9f560428b, old_path=src/main/java/nonapi/io/github/classgraph/classpath/ClasspathOrder.java, new_path=src/main/java/nonapi/io/github/classgraph/classpath/ClasspathOrder.java, old_lines=[327], new_lines=[338], category=ONE_TO_ONE)",40,5,3,854
